flt_ctc_created_at,Pais,ticket_id,first_group,last_group,contact_reason,CSAT,csat_reason,FRT_12HR,elegibilty,last_agent,gympass_id
"janeiro 27, 2025, 12:00 PM",Brazil,79904b70948cce613ee28e697976bf98,BR - CORPORATE ENTERPRISE CHAT,BR - CORPORATE ENTERPRISE CHAT,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,titular,398881467114,29297162
"janeiro 8, 2025, 3:50 PM",Brazil,11126882,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,titular,427809287793,fce47aa7-b184-4724-ac2a-bfe7ad94de03
"abril 3, 2025, 2:03 PM",Brazil,11513042,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,,TRUE,titular,398881467114,25015387
"janeiro 6, 2025, 12:11 PM",Brazil,11106549,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,OTHER,5,__AGENT_FRIENDLINESS,TRUE,titular,398881467114,30544389
"fevereiro 27, 2025, 9:51 PM",Brazil,11358592,BR - SBS BILLING,BR - CORPORATE ENTERPRISE,OTHER,1,__SOLUTION_SPEED,FALSE,titular,398881467114,29981645
"janeiro 20, 2025, 9:23 PM",Brazil,11186197,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__SOLUTION_SPEED,TRUE,dependente,427809287793,20445156
"janeiro 20, 2025, 1:33 PM",Brazil,11182553,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,ELIGIBLE BASE,5,__AGENT_FRIENDLINESS,FALSE,dependente,427809287793,704a0ecd-cc41-4daa-9a3f-c69c03744ea7
"abril 4, 2025, 3:04 PM",Brazil,11519477|67eff48111e189eb5bb3ae20,BR - CORPORATE ENTERPRISE CHAT,BR - CORPORATE ENTERPRISE CHAT,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,titular,427809287793,18990190
"janeiro 7, 2025, 4:58 PM",Brazil,11119512,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,QUESTIONS ABOUT WELLHUB,5,__AGENT_FRIENDLINESS,TRUE,dependente,398881467114,5372563
"fevereiro 21, 2025, 6:18 PM",Brazil,11334174,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,CHANGE PAYMENT DATE,5,__SOLUTION_SPEED,FALSE,titular,398881467114,ea97adf8-244c-454d-afb8-8d0804771201
"março 26, 2025, 10:54 AM",Brazil,11474117,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,titular,398881467114,20048069
"fevereiro 28, 2025, 8:12 PM",Brazil,11362791|67c218b34f118606de6fc1e2,BR - CORPORATE ENTERPRISE CHAT,BR - CORPORATE ENTERPRISE CHAT,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,dependente,16538745412243,24198352
"março 28, 2025, 7:04 PM",Brazil,11487941,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,QUESTIONS AND DOUBTS,4,__AGENT_KNOWLEDGE,TRUE,dependente,1507033734341,28750662
"fevereiro 5, 2025, 2:48 PM",Brazil,11260777,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__SOLUTION_SPEED,TRUE,titular,399363551834,91b2e6e2-e1aa-4b5d-8ada-7431ea7c1f70
"fevereiro 5, 2025, 7:10 PM",Brazil,11262752,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,REQUEST/REVIEW INDICATORS,2,,FALSE,titular,1507033734341,df3593c5-1275-4b5e-8398-dc85d92395a1
"fevereiro 5, 2025, 2:03 PM",Brazil,11260389,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,REQUEST INVOICE,5,__AGENT_FRIENDLINESS,FALSE,titular,1507033734341,56d9cb64-efd5-4d44-b330-56501c1d539d
"janeiro 10, 2025, 12:14 PM",Brazil,11138749,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,1,,TRUE,titular,16538745412243,e5e7b471-fc77-4884-a588-625d2fe03f67
"janeiro 10, 2025, 6:49 PM",Brazil,11142332,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,ADD/REMOVE HR PORTAL ADMIN,5,__AGENT_KNOWLEDGE,TRUE,titular,5378772662931,92130bf4-aef5-4e6f-af23-5f7e98d326d7
"abril 2, 2025, 12:55 PM",Brazil,11506282,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__SOLUTION_SPEED,TRUE,titular,5378772662931,15552744
"janeiro 3, 2025, 2:56 PM",Brazil,11098037,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,titular,399363551834,a5eccb5d-8927-41bd-a5e5-4d2bfc8b2de9
"janeiro 22, 2025, 7:23 PM",Brazil,11197833,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,FALSE,titular,399363551834,ca6187a7-06b3-4dee-b724-5933fe72cbcb
"janeiro 6, 2025, 1:26 PM",Brazil,11107498,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,ADD/REMOVE FINANCIAL NOTIFICATIONS,5,__AGENT_FRIENDLINESS,TRUE,titular,16538745412243,83f93fb5-98b6-49b8-bb03-ad80bc117fc7
"janeiro 6, 2025, 6:32 PM",Brazil,11111300,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,REQUEST INVOICE,5,__AGENT_FRIENDLINESS,FALSE,titular,1507033734341,2be39e41-ff3b-4acd-909b-9652b4bd016d
"março 13, 2025, 3:54 PM",Brazil,11419679,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,INCORRECT/UNDUE CHARGED AMOUNT,5,__AGENT_FRIENDLINESS,FALSE,titular,16538745412243,b8c50248-76e1-4067-a2ba-4ecd2b4cba4b
"março 13, 2025, 6:26 PM",Brazil,11420631,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__AGENT_KNOWLEDGE,TRUE,titular,1507033734341,7fa1ec3f-8b65-4411-88fa-ab7fb5d019a5
"abril 8, 2025, 1:27 PM",Brazil,11537838|67f52433ceffc6b67eaaf8e4,BR - CORPORATE ENTERPRISE CHAT,BR - CORPORATE ENTERPRISE,QUESTIONS AND DOUBTS,4,,TRUE,titular,427809287793,8568bf76-7d52-4f7e-b96a-961c107e4057
"abril 8, 2025, 12:50 PM",Brazil,11537491,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,ELIGIBLE BASE,5,,TRUE,titular,427809287793,a02b18fd-a4f8-44e5-b370-2dbc89be255a
"março 8, 2025, 4:50 PM",Brazil,11393182,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,titular,427809287793,29161357
"janeiro 10, 2025, 1:05 PM",Brazil,11139113,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,titular,398881467114,42082
"abril 2, 2025, 6:37 PM",Brazil,11509124,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__SOLUTION_SPEED,TRUE,titular,427809287793,50066d1a-454c-497b-af54-7cc00c937d16
"fevereiro 11, 2025, 9:14 PM",Brazil,11289808,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,OTHER (HR),1,__SOLUTION_SPEED,TRUE,titular,398881467114,afa5bb0f-c7ad-4925-af8d-e605be7ff3a3
"janeiro 23, 2025, 5:39 PM",Brazil,11202756,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,titular,5378772662931,15295518
"janeiro 23, 2025, 6:17 PM",Brazil,11202984,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,titular,5378772662931,27577057
"fevereiro 26, 2025, 7:30 PM",Brazil,11353388,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,REQUEST INVOICE,5,__AGENT_FRIENDLINESS,TRUE,titular,1507033734341,4d676167-2bad-4903-9a3e-9521bc47fb45
"março 6, 2025, 1:12 PM",Brazil,11381028,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,titular,1507033734341,8782258
"janeiro 16, 2025, 12:21 PM",Brazil,11168463,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,CLIENT CONTRACT,2,__SOLUTION_SPEED,TRUE,titular,1507033734341,d6f5111b-9332-448e-b9f0-6ceb90c4f802
"fevereiro 3, 2025, 6:53 PM",Brazil,11249158,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,PAYMENTS & BILLING,5,__SOLUTION_SPEED,TRUE,titular,399363551834,6ff7ddae-1bbc-4452-9222-730968d5666b
"fevereiro 11, 2025, 6:36 PM",Brazil,11288761,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,INCORRECT/UNDUE CHARGED AMOUNT,5,__AGENT_FRIENDLINESS,TRUE,titular,399363551834,770406
"janeiro 13, 2025, 1:44 PM",Brazil,11149455,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,OTHER (HR),5,__AGENT_KNOWLEDGE,TRUE,titular,399363551834,68b21c5f-a80d-4031-b030-af4e670d2e5f
"fevereiro 10, 2025, 4:58 PM",Brazil,11281185,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,titular,16538745412243,079d90bf-1d20-4c34-ae64-4e3b6d4f02f0
"março 5, 2025, 8:54 PM",Brazil,11378154,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,titular,1507033734341,af704239-7892-469d-95a9-2fa1261d8ca4
"janeiro 17, 2025, 6:18 PM",Brazil,11176470,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__AGENT_KNOWLEDGE,FALSE,titular,1507033734341,89cc6c9b-4238-4b20-a9a3-dc472e2c9a4c
"janeiro 14, 2025, 1:54 PM",Brazil,11156937,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,ADD/REMOVE HR PORTAL ADMIN,5,__AGENT_FRIENDLINESS,TRUE,titular,16538745412243,8f3c2a39-b087-4d66-927f-39d97fbd0bd4
"janeiro 14, 2025, 7:44 PM",Brazil,11159776,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,REQUEST/REVIEW INDICATORS,5,__AGENT_FRIENDLINESS,TRUE,titular,1507033734341,5a52b3a9-04d5-431a-bd86-d6e21ef39614
"março 24, 2025, 5:11 PM",Brazil,11465039|67e19225fd2b2c689c7317db,BR - CORPORATE ENTERPRISE CHAT,BR - CORPORATE ENTERPRISE CHAT,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,titular,5378772662931,030fe5fa-73e9-4af8-afa1-f62f76a24f0c
"março 21, 2025, 6:59 PM",Brazil,11457055,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,EMPLOYEE SUPPORT,5,__AGENT_FRIENDLINESS,TRUE,titular,398881467114,19487352
"março 10, 2025, 6:15 PM",Brazil,11399908,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,CLIENT CONTRACT,5,,FALSE,titular,398881467114,5cc3dd5e-ee73-41c3-a837-6dba1f113f68
"março 10, 2025, 5:18 PM",Brazil,11399362,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,ELIGIBLE BASE,4,__AGENT_FRIENDLINESS,TRUE,titular,427809287793,25375204
"março 5, 2025, 2:32 PM",Brazil,11375111|67c8607e31148d1a4d92cddf,BR - CORPORATE ENTERPRISE CHAT,BR - CORPORATE ENTERPRISE,QUESTIONS ABOUT WELLHUB,5,__AGENT_FRIENDLINESS,TRUE,titular,398881467114,4ff18a95-8d75-471a-9d60-40ee3236b31f
"março 11, 2025, 8:31 PM",Brazil,11407732,BR - CORPORATE ENTERPRISE,BR - CORPORATE ENTERPRISE,ELIGIBLE BASE,1,,FALSE,titular,427809287793,fb77c43d-6b8d-4d79-87dc-2ce56a6e428e
