ticket_id,flt_ctc_created_at,flt_ctc_channel_opened,contact_reason,flt_ctc_status,flt_ctc_resolution_time_in_seconds,flt_ctc_agent_work_time_in_seconds,flt_ctc_latest_group_name,gympass_id
9921239,"março 4, 2024, 3:54 PM",CONVERSATIONAL_AI,NOT PRODUCTIVE,CLOSED,28920,0,BR - MEMBRO,29297162
9922293,"março 17, 2024, 8:24 PM",CONVERSATIONAL_AI,CORPORATE MEMBER,CLOSED,36120,4920,BR - END USER TAGUS,fce47aa7-b184-4724-ac2a-bfe7ad94de03
9922135,"março 17, 2024, 5:55 PM",CONVERSATIONAL_AI,NOT PRODUCTIVE,CLOSED,32520,1380,CL - MIEMBRO,25015387
9922374,"março 17, 2024, 9:33 PM",CONVERSATIONAL_AI,FAMILY MEMBER,CLOSED,98880,36060,ES - END USER TAGUS,30544389
9922141,"março 17, 2024, 5:57 PM",CONVERSATIONAL_AI,OTHERS,CLOSED,54060,12480,DE - END USER TAGUS,29981645
9922120,"março 17, 2024, 5:42 PM",CONVERSATIONAL_AI,PARTNER NETWORK,CLOSED,32520,480,US - END USER TAGUS,20445156
9921827,"março 17, 2024, 1:11 PM",CONVERSATIONAL_AI,PAUSE PLAN,CLOSED,32520,540,ES - USUARIO,704a0ecd-cc41-4daa-9a3f-c69c03744ea7
9921802,"março 17, 2024, 12:49 PM",CONVERSATIONAL_AI,NOT PRODUCTIVE,CLOSED,32520,720,US - END USER TAGUS,18990190
9922483,"março 17, 2024, 11:20 PM",CONVERSATIONAL_AI,NOT PRODUCTIVE,CLOSED,32520,600,DÚVIDAS SOBRE COBRANÇA,5372563
9922053,"março 17, 2024, 4:38 PM",CONVERSATIONAL_AI,NOT PRODUCTIVE,CLOSED,28920,0,BR - END USER TAGUS,ea97adf8-244c-454d-afb8-8d0804771201
9922322,"março 17, 2024, 8:45 PM",CONVERSATIONAL_AI,CORPORATE MEMBER,CLOSED,32520,900,SOU UM USUÁRIO,20048069
9922418,"março 17, 2024, 10:20 PM",HELP_CENTER,PARTNER NETWORK,CLOSED,26040,26040,ES - END USER TAGUS,24198352
9921657,"março 17, 2024, 7:00 AM",MENSAGENS,PARTNER APPS,CLOSED,50460,4560,UK - MEMBER,28750662
9922176,"março 17, 2024, 6:24 PM",CANAL_DE_ATENDIMENTO_EMAIL,FAKE ELIGIBILITY,CLOSED,1140,1140,BR - FRAUD BLOCKED USERS,91b2e6e2-e1aa-4b5d-8ada-7431ea7c1f70
9921990,"março 17, 2024, 3:38 PM",HELP_CENTER,CORPORATE MEMBER,CLOSED,26820,26820,US - MEMBER,df3593c5-1275-4b5e-8398-dc85d92395a1
9922113,"março 17, 2024, 5:36 PM",HELP_CENTER,PARTNER NETWORK,CLOSED,0,0,BR - RETENÇÃO E CANCELAMENTOS,56d9cb64-efd5-4d44-b330-56501c1d539d
9922273,"março 17, 2024, 8:03 PM",HELP_CENTER,OTHERS,CLOSED,126360,19200,BR - END USER TAGUS,e5e7b471-fc77-4884-a588-625d2fe03f67
9922464,"março 17, 2024, 11:03 PM",MENSAGENS,OTHERS,CLOSED,36120,5880,BR - MEMBRO,92130bf4-aef5-4e6f-af23-5f7e98d326d7
9922461,"março 17, 2024, 10:58 PM",CANAL_DE_ATENDIMENTO_EMAIL,OTHERS,CLOSED,28980,28980,UK - END USER TAGUS,15552744
9921652,"março 17, 2024, 6:36 AM",MENSAGENS,GYMS,CLOSED,32520,1560,UK - MEMBER,a5eccb5d-8927-41bd-a5e5-4d2bfc8b2de9
9922259,"março 17, 2024, 7:43 PM",MENSAGENS,CORPORATE MEMBER,CLOSED,28920,0,MX - MIEMBRO,ca6187a7-06b3-4dee-b724-5933fe72cbcb
9922166,"março 17, 2024, 6:20 PM",CANAL_DE_ATENDIMENTO_EMAIL,UNDUE PURCHASE,CLOSED,118920,18180,BR - END USER TAGUS,83f93fb5-98b6-49b8-bb03-ad80bc117fc7
9922011,"março 17, 2024, 3:53 PM",CANAL_DE_ATENDIMENTO_EMAIL,CHANGE,CLOSED,107940,25320,BR - CUSTOMER EXPERIENCE,2be39e41-ff3b-4acd-909b-9652b4bd016d
9922467,"março 17, 2024, 11:07 PM",HELP_CENTER,OTHERS,CLOSED,1620,1620,BR - END USER TAGUS,b8c50248-76e1-4067-a2ba-4ecd2b4cba4b
9922524,"março 17, 2024, 11:50 PM",HELP_CENTER,PARTNER NETWORK,CLOSED,0,0,BR - RETENÇÃO E CANCELAMENTOS,7fa1ec3f-8b65-4411-88fa-ab7fb5d019a5
9921681,"março 17, 2024, 10:01 AM",CANAL_DE_ATENDIMENTO_EMAIL,GYMS,CLOSED,126360,18720,BR - END USER TAGUS,8568bf76-7d52-4f7e-b96a-961c107e4057
9922274,"março 17, 2024, 8:06 PM",CANAL_DE_ATENDIMENTO_EMAIL,USER LEFT THE COMPANY,CLOSED,90300,18000,DE - END USER TAGUS,a02b18fd-a4f8-44e5-b370-2dbc89be255a
9921680,"março 17, 2024, 9:53 AM",CANAL_DE_ATENDIMENTO_EMAIL,EMPLOYEE SUPPORT,CLOSED,65820,5400,BR - CX PREMIUM N2,29161357
9922264,"março 17, 2024, 7:46 PM",CANAL_DE_ATENDIMENTO_EMAIL,OTHER,CLOSED,0,0,BR - GYMS SUPPORT,42082
9921607,"março 17, 2024, 1:36 AM",CANAL_DE_ATENDIMENTO_EMAIL,CORPORATE MEMBER,CLOSED,77340,44520,BR - FRAUD BLOCKED USERS,50066d1a-454c-497b-af54-7cc00c937d16
9922258,"março 17, 2024, 7:43 PM",HELP_CENTER,CORPORATE MEMBER,CLOSED,42840,42240,AR - END USER TAGUS,afa5bb0f-c7ad-4925-af8d-e605be7ff3a3
9921883,"março 17, 2024, 2:06 PM",HELP_CENTER,OTHERS,CLOSED,108000,3420,BR - PAYMENTS AND BILLING,15295518
9921658,"março 17, 2024, 7:09 AM",CANAL_DE_ATENDIMENTO_EMAIL,FAMILY MEMBER,CLOSED,158640,51840,BR - CUSTOMER EXPERIENCE,27577057
